surface;rooms_new;zipcode_new;price_new;latitude;longitude
138;4;1060;420000;40.8046725;-73.9634204
130;5;1087;550000;52.3555895;5.0005613
116;5;1061;425000;52.3730438;4.837568
92;5;1035;349511;52.4168952;4.9067666
127;4;1013;1050000;52.396789;4.8766067
250;6;1077;1995000;52.3435465;4.8738549
69;3;1017;549000;52.3641851;4.8907747
48;2;1025;179011;52.3996222;4.9369594
155;4;1095;749000;52.359026;4.9611967
123;4;1072;995000;52.3522009;4.8903141
84;3;1098;350000;52.3511236;4.9482332
103;4;1055;439000;52.3817073;4.8540225
203;9;1077;1295000;52.3435465;4.8738549
95;5;1098;500000;52.3511236;4.9482332
47;2;1079;300000;52.3421834;4.9067927
91;3;1087;300000;52.3555895;5.0005613
151;9;1071;1095000;52.3559882;4.8778762
81;2;1081;425000;52.3337697;4.8522405
156;5;1013;1250000;52.396789;4.8766067
65;3;1062;252500;52.3517216;4.8371533
194;5;1087;599000;52.3555895;5.0005613
105;5;1034;529500;52.4076495;4.9172724
111;4;1066;325000;52.3431932;4.817434
203;6;1025;650000;52.3996222;4.9369594
120;6;1060;400000;40.8046725;-73.9634204
118;5;1022;375000;40.8033203;-73.9639621
107;6;1103;310000;52.3234207;4.9728948
190;7;1086;790000;52.3617208;4.981714
140;6;1087;550000;52.3555895;5.0005613
137;5;1087;575000;52.3555895;5.0005613
196;7;1087;935000;52.3555895;5.0005613
190;7;1023;950000;52.3870802;4.9496855
173;6;1066;535000;52.3431932;4.817434
100;4;1028;450000;40.803583;-73.963863
236;6;1081;1195000;52.3337697;4.8522405
47;4;1012;475000;52.3733862;4.8940639
66;3;1024;200000;52.3934948;4.9558257
99;3;1095;425000;52.359026;4.9611967
70;3;1108;180000;52.3065615;4.9933607
63;2;1060;235000;40.8046725;-73.9634204
81;3;1069;225000;52.3576375;4.7901227
101;3;1032;600000;52.395149;4.9162053
121;3;1062;450000;52.3517216;4.8371533
242;6;1077;1575000;52.3435465;4.8738549
178;4;1018;795000;52.3683871;4.9180909
61;4;1051;400000;52.3797728;4.8686235
43;2;1021;210000;52.3834657;4.9173131
60;3;1019;310000;52.3728583;4.9388278
104;4;1087;419000;52.3555895;5.0005613
51;2;1051;300000;52.3797728;4.8686235
48;2;1055;295000;52.3817073;4.8540225
209;7;1053;1150000;52.3663937;4.8695863
58;2;1053;289000;52.3663937;4.8695863
100;4;1013;635000;52.396789;4.8766067
123;4;1072;700000;52.3522009;4.8903141
151;3;1011;895000;52.3729762;4.9039565
87;3;1095;429000;52.359026;4.9611967
138;3;1069;500000;52.3576375;4.7901227
124;5;1064;389000;52.3724594;4.8192201
71;2;1053;395000;52.3663937;4.8695863
113;4;1073;599000;52.351928;4.896904
185;7;1016;1395000;52.3711467;4.8837046
86;2;1012;600000;52.3733862;4.8940639
65;3;1060;225000;40.8046725;-73.9634204
144;5;1087;600000;52.3555895;5.0005613
300;4;1082;2500000;52.3314299;4.8766928
127;4;1077;975000;52.3435465;4.8738549
98;2;1016;575000;52.3711467;4.8837046
94;3;1069;319500;52.3576375;4.7901227
108;4;1033;300000;52.4095854;4.8868895
272;9;1077;2900000;52.3435465;4.8738549
110;6;1109;369000;52.3110148;5.0140928
374;6;1028;1500000;40.803583;-73.963863
200;6;1060;525000;40.8046725;-73.9634204
395;3;1071;3995000;52.3559882;4.8778762
81;4;1026;485000;52.3812323;4.9935529
92;4;1108;225000;52.3065615;4.9933607
82;3;1064;225000;52.3724594;4.8192201
116;4;1012;900000;52.3733862;4.8940639
94;4;1019;500000;52.3728583;4.9388278
51;4;1013;295000;52.396789;4.8766067
83;3;1068;285000;52.3624004;4.8042058
110;3;1069;320000;52.3576375;4.7901227
44;2;1091;239000;52.3565396;4.9143228
119;4;1056;600000;52.3732792;4.8544858
138;7;1066;399000;52.3431932;4.817434
94;4;1064;315000;52.3724594;4.8192201
59;3;1013;325000;52.396789;4.8766067
84;3;1073;550000;52.351928;4.896904
70;2;1011;450000;52.3729762;4.9039565
106;5;1082;445000;52.3314299;4.8766928
138;5;1079;749000;52.3421834;4.9067927
94;3;1015;600000;52.3790928;4.885109
148;6;1057;695000;52.3670713;4.8531117
106;3;1032;525000;52.395149;4.9162053
84;3;1096;539011;52.3363412;4.9190299
127;5;1081;587500;52.3337697;4.8522405
171;5;1060;515000;40.8046725;-73.9634204
169;6;1060;495000;40.8046725;-73.9634204
265;5;1081;2300000;52.3337697;4.8522405
463;9;1015;3450000;52.3790928;4.885109
74;3;1069;265000;52.3576375;4.7901227
105;4;1082;550000;52.3314299;4.8766928
72;4;1069;185000;52.3576375;4.7901227
100;4;1052;639000;52.3768523;4.87475
78;3;1060;249000;40.8046725;-73.9634204
71;3;1019;290000;52.3728583;4.9388278
70;2;1012;495000;52.3733862;4.8940639
110;4;1018;650000;52.3683871;4.9180909
108;4;1095;500000;52.359026;4.9611967
63;3;1017;475000;52.3641851;4.8907747
83;5;1109;325000;52.3110148;5.0140928
151;6;1081;585000;52.3337697;4.8522405
66;2;1094;275000;52.3636588;4.9355226
120;4;1061;399000;52.3730438;4.837568
156;3;1052;700000;52.3768523;4.87475
85;3;1019;400000;52.3728583;4.9388278
207;9;1098;885000;52.3511236;4.9482332
243;3;1082;2000000;52.3314299;4.8766928
164;4;1079;950000;52.3421834;4.9067927
140;3;1016;900000;52.3711467;4.8837046
156;4;1067;890000;52.3765795;4.7834602
187;5;1060;550000;40.8046725;-73.9634204
95;6;1106;265000;52.3007124;4.9740506
102;5;1067;330000;52.3765795;4.7834602
244;8;1081;995000;52.3337697;4.8522405
150;7;1052;1350000;52.3768523;4.87475
81;4;1062;275000;52.3517216;4.8371533
84;3;1068;200000;52.3624004;4.8042058
128;3;1075;1595000;52.3515641;4.856651
52;2;1013;250000;52.396789;4.8766067
146;4;1054;995000;52.3612327;4.8653587
199;4;1072;1500000;52.3522009;4.8903141
411;8;1016;3650000;52.3711467;4.8837046
181;7;1016;1399000;52.3711467;4.8837046
229;6;1108;950000;52.3065615;4.9933607
150;7;1052;1350000;52.3768523;4.87475
148;4;1023;995000;52.3870802;4.9496855
145;4;1024;550000;52.3934948;4.9558257
163;7;1025;795000;52.3996222;4.9369594
68;3;1098;350000;52.3511236;4.9482332
91;5;1064;275000;52.3724594;4.8192201
97;4;1016;650000;52.3711467;4.8837046
143;3;1016;770000;52.3711467;4.8837046
183;4;1091;1085000;52.3565396;4.9143228
162;3;1071;1150000;52.3559882;4.8778762
56;3;1055;225000;52.3817073;4.8540225
56;2;1056;300000;52.3732792;4.8544858
224;7;1077;1500000;52.3435465;4.8738549
100;3;1087;349000;52.3555895;5.0005613
86;2;1016;499500;52.3711467;4.8837046
135;4;1102;325000;52.3135175;4.9547795
84;5;1073;900000;52.351928;4.896904
319;1;1077;2000000;52.3435465;4.8738549
93;4;1033;365000;52.4095854;4.8868895
125;5;1063;425000;52.3815295;4.825779
113;4;1023;575000;52.3870802;4.9496855
166;7;1082;750000;52.3314299;4.8766928
398;8;1067;1250000;52.3765795;4.7834602
61;3;1055;300000;52.3817073;4.8540225
92;4;1052;550000;52.3768523;4.87475
144;5;1058;750000;52.3583805;4.8494046
75;4;1083;299000;52.3297611;4.888615
85;3;1094;425000;52.3636588;4.9355226
106;3;1013;700000;52.396789;4.8766067
53;2;1015;325000;52.3790928;4.885109
77;3;1082;299000;52.3314299;4.8766928
180;4;1094;1085000;52.3636588;4.9355226
71;3;1015;475000;52.3790928;4.885109
133;4;1078;800000;52.3441217;4.8922031
